Departamento ,Año ,Mes, Promedios_moviles_Ocupados_H , Promedios_Moviles_Ocupados_M , Promedios_Moviles_Ocupados_Total , Promedios_Moviles_Desocupados_H , Promedios_Moviles_Desocupados_M , Promedios_Moviles_Des_Total , Promedios_Moviles_Inac_H , Promedios_Moviles_Inac_M , Promedios_Moviles_Inac_T 
ATLANTIDA,2001,1/1/2001," 66,929.00 "," 21,562.00 "," 88,491.00 "," 1,606.00 ", 417.00 ," 2,023.00 "," 56,224.00 "," 107,446.00 "," 163,670.00 "
COLON,2001,1/2/2001," 47,890.00 "," 11,327.00 "," 59,217.00 "," 1,008.00 ", 385.00 ," 1,393.00 "," 36,644.00 "," 73,884.00 "," 110,528.00 "
COMAYAGUA,2001,1/3/2001," 77,800.00 "," 18,450.00 "," 96,250.00 "," 1,714.00 ", 306.00 ," 2,020.00 "," 50,272.00 "," 112,428.00 "," 162,700.00 "
COPAN,2001,1/4/2001," 64,206.33 "," 17,113.00 "," 81,319.33 "," 1,442.67 ", 369.33 ," 1,812.00 "," 47,713.33 "," 97,919.33 "," 145,632.67 "
CORTES,2001,1/5/2001," 63,298.78 "," 15,630.00 "," 78,928.78 "," 1,388.22 ", 353.44 ," 1,741.67 "," 44,876.44 "," 94,743.78 "," 139,620.22 "
CHOLUTECA,2001,1/6/2001," 68,435.04 "," 17,064.33 "," 85,499.37 "," 1,514.96 ", 342.93 ," 1,857.89 "," 47,620.59 "," 101,697.04 "," 149,317.63 "
EL PARAISO ,2001,1/7/2001," 65,313.38 "," 16,602.44 "," 81,915.83 "," 1,448.62 ", 355.23 ," 1,803.85 "," 46,736.79 "," 98,120.05 "," 144,856.84 "
FRANCISCO MORAZAN,2001,1/8/2001," 65,682.40 "," 16,432.26 "," 82,114.66 "," 1,450.60 ", 350.53 ," 1,801.14 "," 46,411.28 "," 98,186.95 "," 144,598.23 "
GRACIAS A DIOS ,2001,1/9/2001," 66,476.94 "," 16,699.68 "," 83,176.62 "," 1,471.39 ", 349.57 ," 1,820.96 "," 46,922.89 "," 99,334.68 "," 146,257.57 "
INTIBUCA,2001,1/10/2001," 65,824.24 "," 16,578.13 "," 82,402.37 "," 1,456.87 ", 351.78 ," 1,808.65 "," 46,690.32 "," 98,547.23 "," 145,237.55 "
ISLAS DE LA BAHIA,2001,1/11/2001," 65,994.53 "," 16,570.02 "," 82,564.55 "," 1,459.62 ", 350.63 ," 1,810.25 "," 46,674.83 "," 98,689.62 "," 145,364.45 "
LA PAZ,2001,1/12/2001," 66,098.57 "," 16,615.94 "," 82,714.51 "," 1,462.63 ", 350.66 ," 1,813.29 "," 46,762.68 "," 98,857.18 "," 145,619.85 "
LEMPIRA ,2001,1/1/2001," 65,972.45 "," 16,588.03 "," 82,560.48 "," 1,459.71 ", 351.02 ," 1,810.73 "," 46,709.27 "," 98,698.01 "," 145,407.28 "
OCOTEPEQUE,2001,1/2/2001," 66,021.85 "," 16,591.33 "," 82,613.18 "," 1,460.65 ", 350.77 ," 1,811.42 "," 46,715.59 "," 98,748.27 "," 145,463.86 "
OLANCHO ,2001,1/3/2001," 66,030.95 "," 16,598.44 "," 82,629.39 "," 1,461.00 ", 350.81 ," 1,811.81 "," 46,729.18 "," 98,767.82 "," 145,497.00 "
SANTA BARBARA,2001,1/4/2001," 66,008.42 "," 16,592.60 "," 82,601.01 "," 1,460.45 ", 350.87 ," 1,811.32 "," 46,718.02 "," 98,738.03 "," 145,456.05 "
VALLE,2001,1/5/2001," 66,020.41 "," 16,594.12 "," 82,614.53 "," 1,460.70 ", 350.82 ," 1,811.52 "," 46,720.93 "," 98,751.37 "," 145,472.30 "
YORO,2001,1/6/2001," 66,019.92 "," 16,595.05 "," 82,614.98 "," 1,460.72 ", 350.83 ," 1,811.55 "," 46,722.71 "," 98,752.41 "," 145,475.12 "
